query_id,split,query_type,input_tokens,agent_id,token_budget,observed_quality,cost_usd,latency_ms
1,train,math_olympiad,152,A,512,0.0,0.0001371,4189.0
1,train,math_olympiad,152,A,1024,0.0,0.0002651,7837.9
1,train,math_olympiad,152,A,2048,0.0,0.0005211,15645.9
1,train,math_olympiad,152,A,4096,0.0,0.0010331,31709.7
1,train,math_olympiad,152,B,512,0.0,0.0002425,11432.4
1,train,math_olympiad,152,B,1024,0.0,0.0004729,22532.5
1,train,math_olympiad,152,B,2048,0.0,0.0009337,45283.0
1,train,math_olympiad,152,B,4096,0.0,0.0009296,45004.9
1,train,math_olympiad,152,C,512,0.0,0.0001146,1210.8
1,train,math_olympiad,152,C,1024,0.0,0.000217,6500.8
1,train,math_olympiad,152,C,2048,0.0,0.0004218,4179.9
1,train,math_olympiad,152,C,4096,0.0,0.0008314,21463.3
1,train,math_olympiad,152,D,512,0.0,0.0001391,5001.1
1,train,math_olympiad,152,D,1024,0.0,0.0002671,10024.4
1,train,math_olympiad,152,D,2048,0.0,0.0005231,24892.1
1,train,math_olympiad,152,D,4096,0.0,0.0010351,34700.9
1,train,math_olympiad,152,E,512,0.0,0.0006109,2639.7
1,train,math_olympiad,152,E,1024,0.0,0.0011738,9989.7
1,train,math_olympiad,152,E,2048,0.0,0.0023002,10390.8
1,train,math_olympiad,152,E,4096,0.0,0.004553,20278.5
2,test,knowledge,180,A,512,0.0,0.0001386,4897.0
2,test,knowledge,180,A,1024,0.0,0.0002666,7852.7
2,test,knowledge,180,A,2048,0.0,0.0005226,20198.3
2,test,knowledge,180,A,4096,1.0,0.0006266,24597.0
2,test,knowledge,180,B,512,0.0,0.0002448,17371.0
2,test,knowledge,180,B,1024,0.0,0.0004752,35775.0
2,test,knowledge,180,B,2048,0.0,0.0005324,40930.0
2,test,knowledge,180,B,4096,0.0,0.0005044,37801.3
2,test,knowledge,180,C,512,0.0,0.000117,2951.1
2,test,knowledge,180,C,1024,0.0,5.78e-05,1693.8
2,test,knowledge,180,C,2048,1.0,0.0003688,11038.8
2,test,knowledge,180,C,4096,1.0,0.0003936,11721.2
2,test,knowledge,180,D,512,0.0,0.0001408,8390.2
2,test,knowledge,180,D,1024,1.0,0.0001862,9363.6
2,test,knowledge,180,D,2048,1.0,8.32e-05,16546.0
2,test,knowledge,180,D,4096,1.0,0.0002552,15516.5
2,test,knowledge,180,E,512,0.0,0.0006181,2891.0
2,test,knowledge,180,E,1024,0.0,0.001181,5790.0
2,test,knowledge,180,E,2048,0.0,0.0023074,11230.2
2,test,knowledge,180,E,4096,1.0,0.0024768,43324.2
3,test,knowledge,439,A,512,0.0,0.000156,4113.2
3,test,knowledge,439,A,1024,0.0,0.000276,7614.4
3,test,knowledge,439,A,2048,0.0,0.00054,15670.8
3,test,knowledge,439,A,4096,0.0,0.000341,9553.1
3,test,knowledge,439,B,512,0.0,0.0002298,10612.6
3,test,knowledge,439,B,1024,0.0,0.0004948,23511.9
3,test,knowledge,439,B,2048,0.0,0.0003764,19913.6
3,test,knowledge,439,B,4096,0.0,0.0008778,47156.7
3,test,knowledge,439,C,512,0.0,0.0001141,2369.4
3,test,knowledge,439,C,1024,0.0,0.0002399,5200.3
3,test,knowledge,439,C,2048,0.0,9.41e-05,1709.6
3,test,knowledge,439,C,4096,0.0,0.0001261,2308.1
3,test,knowledge,439,D,512,0.0,0.0001625,9475.5
3,test,knowledge,439,D,1024,0.0,0.0002905,14035.2
3,test,knowledge,439,D,2048,1.0,0.0003465,13278.0
3,test,knowledge,439,D,4096,0.0,0.0010585,58597.5
3,test,knowledge,439,E,512,0.0,0.0006874,3329.4
3,test,knowledge,439,E,1024,0.0,0.0012506,6461.9
3,test,knowledge,439,E,2048,0.0,0.0023767,19028.0
3,test,knowledge,439,E,4096,1.0,0.0027092,11248.6
4,train,math_olympiad,195,A,512,0.0,0.0001397,5062.1
4,train,math_olympiad,195,A,1024,0.0,0.0002677,7803.3
4,train,math_olympiad,195,A,2048,0.0,0.0005237,15619.4
4,train,math_olympiad,195,A,4096,0.0,0.0010357,31897.0
4,train,math_olympiad,195,B,512,0.0,0.0002458,10997.3
4,train,math_olympiad,195,B,1024,0.0,0.0004762,22098.2
4,train,math_olympiad,195,B,2048,0.0,0.0007125,33375.0
4,train,math_olympiad,195,B,4096,0.0,0.0004879,22881.0
4,train,math_olympiad,195,C,512,0.0,0.0001181,1096.9
4,train,math_olympiad,195,C,1024,0.0,0.0002205,2352.8
4,train,math_olympiad,195,C,2048,0.0,0.0004253,4672.8
4,train,math_olympiad,195,C,4096,0.0,0.0008349,19463.7
4,train,math_olympiad,195,D,512,0.0,0.0001422,7701.0
4,train,math_olympiad,195,D,1024,0.0,0.0002702,15602.3
4,train,math_olympiad,195,D,2048,0.0,0.0005262,21713.1
4,train,math_olympiad,195,D,4096,0.0,8.52e-05,10257.5
4,train,math_olympiad,195,E,512,0.0,0.0006241,2403.8
4,train,math_olympiad,195,E,1024,0.0,0.0011873,4441.3
4,train,math_olympiad,195,E,2048,0.0,0.0023137,7453.5
4,train,math_olympiad,195,E,4096,0.0,0.0045662,38283.2
5,train,math_comp,78,A,512,0.0,0.0001327,4082.9
5,train,math_comp,78,A,1024,1.0,0.0001489,4489.5
5,train,math_comp,78,A,2048,1.0,9.44e-05,3056.1
5,train,math_comp,78,A,4096,1.0,7.64e-05,2613.2
5,train,math_comp,78,B,512,0.0,0.0002363,27583.9
5,train,math_comp,78,B,1024,1.0,0.0003248,21427.0
5,train,math_comp,78,B,2048,1.0,0.0003923,19248.2
5,train,math_comp,78,B,4096,1.0,0.0004872,71098.7
5,train,math_comp,78,C,512,0.0,0.0001088,3590.2
5,train,math_comp,78,C,1024,0.0,0.0002112,5822.8
5,train,math_comp,78,C,2048,1.0,6.58e-05,2069.0
5,train,math_comp,78,C,4096,1.0,0.0002038,6487.3
5,train,math_comp,78,D,512,0.0,0.0001335,7062.3
5,train,math_comp,78,D,1024,1.0,3.05e-05,5256.8
5,train,math_comp,78,D,2048,1.0,0.0001772,10970.7
5,train,math_comp,78,D,4096,1.0,2.65e-05,4928.8
5,train,math_comp,78,E,512,0.0,0.0005896,4368.3
5,train,math_comp,78,E,1024,1.0,0.0010931,9862.5
5,train,math_comp,78,E,2048,1.0,0.001793,8387.0
5,train,math_comp,78,E,4096,1.0,0.0012647,6354.0
6,train,math_olympiad,112,A,512,0.0,0.0001347,4017.6
6,train,math_olympiad,112,A,1024,0.0,0.0002492,7357.2
6,train,math_olympiad,112,A,2048,0.0,0.0002745,8569.0
6,train,math_olympiad,112,A,4096,0.0,0.0010307,31650.0
6,train,math_olympiad,112,B,512,0.0,0.0002392,11670.9
6,train,math_olympiad,112,B,1024,0.0,0.0004696,22707.3
6,train,math_olympiad,112,B,2048,1.0,0.0005956,28927.8
6,train,math_olympiad,112,B,4096,0.0,0.0006586,31845.2
6,train,math_olympiad,112,C,512,0.0,0.0001114,2785.6
6,train,math_olympiad,112,C,1024,0.0,0.0002138,6699.0
6,train,math_olympiad,112,C,2048,0.0,0.0004186,11237.5
6,train,math_olympiad,112,C,4096,1.0,0.0008182,20002.3
6,train,math_olympiad,112,D,512,0.0,0.0001361,6194.1
6,train,math_olympiad,112,D,1024,0.0,0.0002641,11986.6
6,train,math_olympiad,112,D,2048,1.0,0.0004588,55163.1
6,train,math_olympiad,112,D,4096,1.0,0.0003011,11956.3
6,train,math_olympiad,112,E,512,0.0,0.0005995,1949.3
6,train,math_olympiad,112,E,1024,0.0,0.0011624,9820.5
6,train,math_olympiad,112,E,2048,1.0,0.0022242,7792.5
6,train,math_olympiad,112,E,4096,1.0,0.0022506,7718.8
7,test,coding,203,A,512,1.0,0.0001084,2961.5
